,manufacturer,model_name,category,screen_size_inch,cpu,ram_gb,storage,gpu,os,os_version,weight,price_euros,cpu_manufacturer,gpu_manufacturer,screen_width_px,screen_height_px,cpu_speed_GHz
634,Asus,X541NA-GO414T (N3350/8GB/1TB/W10),Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,8,1TB HDD,Intel HD Graphics 500,Windows,10,2kg,399.0,Intel,Intel,1366,768,1.1
635,Asus,VivoBook Pro,Notebook,15.6,Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,1.99kg,906.62,Intel,Nvidia,1920,1080,2.5
636,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.23kg,1869.0,Intel,Intel,3200,1800,1.6
637,Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Intel HD Graphics 400,Windows,10,1.42kg,249.0,Intel,Intel,1366,768,1.6
638,Lenovo,Thinkpad Yoga,2 in 1 Convertible,13.3,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.37kg,1757.42,Intel,Intel,1920,1080,2.7
639,Dell,XPS 15,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,16,1TB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,2399.0,Intel,Nvidia,3840,2160,2.8
640,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050M,Windows,10,2.5kg,1109.0,Intel,Nvidia,1920,1080,2.8
641,HP,17-AK091ND (A9-9420/8GB/1TB/W10),Notebook,17.0,AMD A9-Series 9420 3GHz,8,1TB HDD,AMD Radeon R5,Windows,10,2.6kg,520.9,AMD,AMD,1600,900,3.0
642,Lenovo,ThinkPad X1,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,Windows,10,1.14kg,2450.0,Intel,Intel,1920,1080,2.7
643,Asus,ROG GL553VE-FY022,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050 Ti,No OS,,2.5kg,1169.0,Intel,Nvidia,1920,1080,2.8
644,Acer,Extensa EX2540,Notebook,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,Windows,10,2.4kg,450.0,Intel,Intel,1366,768,2.0
645,Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,4,32GB Flash Storage,Intel HD Graphics,Windows,10,1.43kg,274.0,Intel,Intel,1366,768,1.6
646,Acer,Swift 3,Ultrabook,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel Graphics 620,Windows,10,1.8kg,919.0,Intel,Intel,1920,1080,2.5
647,Razer,Blade Pro,Gaming,14.0,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Nvidia GeForce GTX 1060,Windows,10,1.95kg,2599.0,Intel,Nvidia,1920,1080,2.8
648,Toshiba,Portege Z30-C-16J,Notebook,13.3,Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,Windows,10,1.2kg,1213.0,Intel,Intel,1920,1080,2.3
649,Lenovo,Thinkpad X270,Ultrabook,12.5,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,1584.0,Intel,Intel,1920,1080,2.7
650,Asus,ROG G701VI,Gaming,17.3,Intel Core i7 6820HK 2.7GHz,32,512GB SSD,Nvidia GeForce GTX 1080,Windows,10,3.8kg,2799.0,Intel,Nvidia,1920,1080,2.7
651,Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Linux,,2.4kg,709.0,Intel,Nvidia,1920,1080,2.5
652,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,1449.9,Intel,Intel,1920,1080,1.6
653,MSI,GL62M 7REX,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2kg,1191.8,Intel,Nvidia,1920,1080,2.8
654,HP,250 G6,Notebook,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,No OS,,1.86kg,364.9,Intel,Intel,1366,768,2.0
655,Toshiba,Tecra A50-D-11M,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,500GB HDD,Intel HD Graphics 620,Windows,10,2.0kg,1064.0,Intel,Intel,1920,1080,2.5
656,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,919.0,Intel,AMD,1920,1080,1.8
657,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.2kg,1135.0,Intel,AMD,1920,1080,1.8
658,Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,Intel Core i7 6700HQ 2.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960,Windows,10,3.31kg,1196.0,Intel,Nvidia,1920,1080,2.6
659,Dell,Alienware 17,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,32,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,3147.37,Intel,Nvidia,3840,2160,2.8
660,Dell,Latitude E7470,Notebook,14.0,Intel Core i5 6300U 2.4GHz,8,256GB SSD,Intel HD Graphics 520,Windows,10,1.56kg,1229.0,Intel,Intel,1920,1080,2.4
661,Lenovo,Ideapad 320-15IAP,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,500GB HDD,Intel HD Graphics 500,Windows,10,2.2kg,419.0,Intel,Intel,1366,768,1.1
662,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,Windows,10,2.2kg,535.0,Intel,Intel,1920,1080,2.3
663,HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,15.6,Intel Core i3 6006U 2GHz,6,1TB HDD,AMD Radeon R5 M430,Windows,10,2.04kg,539.0,Intel,AMD,1920,1080,2.0
664,MSI,GP72VR Leopard,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.7kg,1486.77,Intel,Nvidia,1920,1080,2.8
665,Toshiba,Satellite Pro,Notebook,15.6,Intel Core i3 6100U 2.1GHz,4,128GB SSD,Intel HD Graphics 520,Windows,10,2.1kg,498.0,Intel,Intel,1366,768,2.1
666,Dell,Latitude 3580,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,Windows,10,2.06kg,955.0,Intel,Intel,1920,1080,2.5
667,HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon 530,Windows,10,2.1kg,745.0,Intel,AMD,1920,1080,2.7
668,Toshiba,Tecra Z50-D-10E,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,2.0kg,1258.0,Intel,Intel,1920,1080,2.5
669,Acer,Aspire 3,Notebook,15.6,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,Linux,,2.1kg,412.0,Intel,Intel,1366,768,2.0
670,Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i7 7600U 2.8GHz,8,256GB SSD,Intel Iris Plus Graphics 640,Windows,10 S,1.252kg,1867.85,Intel,Intel,2256,1504,2.8
671,Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows,10,1.90kg,817.95,Intel,AMD,1920,1080,2.5
672,Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.3kg,1034.0,Intel,Intel,1920,1080,2.5
673,Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD E-Series E2-9000 2.2GHz,4,128GB SSD,AMD Radeon R2 Graphics,Windows,10,2.2kg,349.0,AMD,AMD,1366,768,2.2
674,HP,Pavilion X360,2 in 1 Convertible,14.0,Intel Core i3 7100U 2.4GHz,4,128GB SSD,Nvidia GeForce 940MX,Windows,10,1.63kg,699.0,Intel,Nvidia,1920,1080,2.4
675,MSI,GP62 7RDX,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.4kg,1294.0,Intel,Nvidia,1920,1080,2.8
676,Asus,Zenbook 3,Ultrabook,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,1135.0,Intel,Intel,1920,1080,2.5
677,HP,Chromebook X360,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,8,64GB Flash Storage,Intel HD Graphics 500,Chrome OS,,1.4kg,495.0,Intel,Intel,1366,768,1.1
678,LG,Gram 15Z975,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel HD Graphics 620,Windows,10,1.09kg,2299.0,Intel,Intel,1920,1080,1.8
679,Acer,Aspire VX5-591G,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,16,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1299.0,Intel,Nvidia,1920,1080,2.5
680,MSI,GV62M 7RD,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,997.9,Intel,Nvidia,1920,1080,2.5
681,Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,128GB SSD,Intel HD Graphics 500,Windows,10,1.86kg,419.0,Intel,Intel,1366,768,1.1
682,Dell,Alienware 15,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,3.21kg,2051.0,Intel,Nvidia,1920,1080,2.5
683,HP,17-bs000nv I3,Notebook,17.3,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 520,Windows,10,2.5kg,699.0,Intel,AMD,1920,1080,2.0
684,Lenovo,Yoga 730,2 in 1 Convertible,13.3,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows,10,1.19kg,1499.0,Intel,Intel,1920,1080,1.8
685,Dell,Alienware 15,Gaming,15.6,Intel Core i7 7820HK 2.9GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,3.49kg,2813.75,Intel,Nvidia,1920,1080,2.9
686,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,500GB HDD,AMD Radeon 520,Windows,10,1.86kg,612.61,Intel,AMD,1366,768,2.5
687,Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M430,Windows,10,2.2kg,545.67,Intel,AMD,1366,768,2.0
688,HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,17.3,AMD A10-Series 9600P 2.4GHz,6,2TB HDD,AMD Radeon R7 M440,Windows,10,2.65kg,569.0,AMD,AMD,1920,1080,2.4
689,Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.6,Intel Celeron Dual Core 3855U 1.6GHz,4,500GB HDD,Intel HD Graphics 510,Windows,10,2.1kg,318.0,Intel,Intel,1366,768,1.6
690,Acer,Chromebook 14,Notebook,14.0,Intel Celeron Dual Core 3855U 1.6GHz,4,32GB Flash Storage,Intel HD Graphics 510,Chrome OS,,1.45kg,375.0,Intel,Intel,1366,768,1.6
691,Lenovo,IdeaPad 520s-14IKB,Notebook,14.0,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Windows,10,1.7kg,699.0,Intel,Intel,1920,1080,2.5
692,HP,ZBook 17,Workstation,17.3,Intel Core i7 7700HQ 2.8GHz,8,500GB HDD,Nvidia Quadro M1200,Windows,10,3.14kg,1907.99,Intel,Nvidia,1920,1080,2.8
693,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.42kg,2590.0,Intel,Intel,2560,1440,2.7
694,Toshiba,Satellite Pro,Notebook,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.5kg,973.0,Intel,Intel,1920,1080,2.5
695,Acer,TravelMate B117-M,Netbook,11.6,Intel Celeron Dual Core N3050 1.6GHz,4,32GB Flash Storage,Intel HD Graphics,Windows,10,1.4kg,269.0,Intel,Intel,1366,768,1.6
696,Lenovo,Yoga 910-13IKB,2 in 1 Convertible,14.0,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,Windows,10,1.38kg,1749.0,Intel,Intel,1920,1080,2.7
697,Asus,Chromebook Flip,2 in 1 Convertible,12.5,Intel Core M M3-6Y30 0.9GHz,4,64GB Flash Storage,Intel HD Graphics 515,Chrome OS,,1.2kg,669.0,Intel,Intel,1920,1080,0.9
698,Toshiba,Portege Z30T-C-133,Ultrabook,13.3,Intel Core i7 6500U 2.5GHz,16,512GB SSD,Intel HD Graphics 520,Windows,10,1.36kg,1877.0,Intel,Intel,1920,1080,2.5
699,HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,Intel Core i7 7500U 2.7GHz,4,500GB HDD,AMD Radeon 530,Windows,10,2.1kg,689.0,Intel,AMD,1920,1080,2.7
700,Dell,Inspiron 5577,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.56kg,819.0,Intel,Nvidia,1920,1080,2.5
701,Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD A9-Series 9420 2.9GHz,4,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,399.0,AMD,AMD,1920,1080,2.9
702,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,AMD A12-Series 9720P 3.6GHz,8,1TB HDD,AMD Radeon R7,Windows,10,2.2kg,429.0,AMD,AMD,1366,768,3.6
703,Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,1TB HDD +  1TB HDD,Intel HD Graphics 620,Windows,10,2.1kg,621.45,Intel,Intel,1920,1080,2.5
704,Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,No OS,,1.90kg,450.0,Intel,Intel,1366,768,2.0
705,Dell,Vostro 5568,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,2.18kg,795.0,Intel,Intel,1920,1080,2.5
706,Acer,Spin 5,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6kg,999.0,Intel,Intel,1920,1080,1.6
707,Lenovo,ThinkPad P51s,Workstation,15.6,Intel Core i7 6500U 2.5GHz,16,512GB SSD,Nvidia Quadro M520M,Windows,7,2.18kg,1855.0,Intel,Nvidia,1920,1080,2.5
708,Lenovo,Thinkpad T460p,Notebook,14.0,Intel Core i5 6300HQ 2.3GHz,8,256GB SSD,Intel HD Graphics 520,Windows,10,1.8kg,1191.0,Intel,Intel,1920,1080,2.3
709,HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,AMD A10-Series 9620P 2.5GHz,6,2TB HDD,AMD Radeon 530,Windows,10,2.71kg,655.01,AMD,AMD,1920,1080,2.5
710,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1249.0,Intel,Nvidia,1920,1080,2.8
711,Dell,Latitude 5480,Notebook,14.0,Intel Core i5 7440HQ 2.8GHz,8,256GB SSD,Nvidia GeForce 930MX,Linux,,1.64kg,1089.0,Intel,Nvidia,1920,1080,2.8
712,Dell,Vostro 5568,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,Linux,,1.98kg,726.0,Intel,Intel,1920,1080,2.5
713,Asus,VivoBook E403NA,Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.5kg,298.0,Intel,Intel,1920,1080,1.1
714,Dell,Latitude 5580,Notebook,15.6,Intel Core i5 7300U 2.6GHz,16,512GB SSD,Intel HD Graphics 620,Windows,10,1.93kg,1426.66,Intel,Intel,1920,1080,2.6
715,Lenovo,Thinkpad E470,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 920MX,Windows,10,1.87kg,857.07,Intel,Nvidia,1920,1080,2.5
716,Dell,Latitude 5580,Notebook,15.6,Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.9kg,1179.0,Intel,Intel,1920,1080,2.6
717,Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,AMD A6-Series 7310 2GHz,4,500GB HDD,AMD Radeon R4,Windows,10,2.19kg,298.0,AMD,AMD,1366,768,2.0
718,Mediacom,Smartbook 142,Notebook,14.0,Intel Atom Z8350 1.92GHz,4,32GB HDD,Intel HD Graphics 400,Windows,10,1.4kg,265.0,Intel,Intel,1920,1200,1.92
719,HP,ProBook 470,Notebook,17.3,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 930MX,Windows,10,2.63kg,1200.0,Intel,Nvidia,1920,1080,2.7
720,Lenovo,ThinkPad X1,Ultrabook,14.0,Intel Core i7 6500U 2.5GHz,8,512GB SSD,Intel HD Graphics 520,Windows,10,1.17kg,1686.64,Intel,Intel,2560,1440,2.5
721,HP,Pavilion X360,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.58kg,836.6,Intel,Intel,1366,768,2.5
722,Lenovo,ThinkPad T470s,Ultrabook,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.32kg,1499.0,Intel,Intel,1920,1080,2.5
723,Dell,Alienware 17,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,32,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.36kg,3659.4,Intel,Nvidia,3840,2160,2.8
724,MSI,GL72M 7REX,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7kg,1348.48,Intel,Nvidia,1920,1080,2.8
725,Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,No OS,,1.9kg,489.9,Intel,Intel,1366,768,2.5
726,Dell,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.2kg,719.0,Intel,AMD,1920,1080,1.6
727,Dell,Inspiron 5378,2 in 1 Convertible,13.3,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,Windows,10,1.71kg,649.0,Intel,Intel,1920,1080,2.4
728,Dell,Inspiron 5567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,1TB HDD,AMD Radeon R7 M445,Linux,,2.32kg,589.52,Intel,AMD,1366,768,2.5
729,HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon 520,Windows,10,2.1kg,489.0,AMD,AMD,1920,1080,3.0
730,Acer,Predator 17,Gaming,17.3,Intel Core i7 6700HQ 2.6GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,4.2kg,1935.0,Intel,Nvidia,1920,1080,2.6
731,Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,12,1TB HDD,Intel HD Graphics 620,Windows,10,2.25kg,649.0,Intel,Intel,1366,768,2.5
732,HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,AMD A9-Series A9-9420 3GHz,6,128GB SSD +  1TB HDD,AMD Radeon 520,Windows,10,2.1kg,650.0,AMD,AMD,1920,1080,3.0
733,Acer,Extensa EX2540-58KR,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,Windows,10,2.4kg,559.0,Intel,Intel,1366,768,2.5
734,Lenovo,ThinkPad 13,Notebook,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.44kg,960.0,Intel,Intel,1920,1080,2.5
735,Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i7 7500U 2.7GHz,4,1TB HDD,Intel HD Graphics 620,Windows,10,1.85kg,779.0,Intel,Intel,1920,1080,2.7
736,HP,ZBook 15,Workstation,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Nvidia Quadro M2200,Windows,10,2.6kg,2419.0,Intel,Nvidia,1920,1080,2.8
737,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,Windows,10,1.55kg,659.0,Intel,Intel,1920,1080,1.6
738,MSI,GS63VR 7RF,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,1.8kg,2094.48,Intel,Nvidia,1920,1080,2.8
739,Acer,Aspire ES1-572,Notebook,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,Windows,10,2.4kg,410.8,Intel,Intel,1366,768,2.0
740,Dell,Inspiron 7560,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.0kg,1207.0,Intel,Nvidia,1920,1080,2.7
741,Dell,Vostro 3568,Notebook,15.6,Intel Core i3 6006U 2GHz,8,256GB SSD,Intel HD Graphics 520,Windows,10,2kg,665.0,Intel,Intel,1366,768,2.0
742,Toshiba,Tecra X40-D-10G,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.25kg,1535.0,Intel,Intel,1920,1080,2.5
743,Lenovo,Flex 5,2 in 1 Convertible,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.7kg,999.0,Intel,Intel,1920,1080,2.5
744,Lenovo,Thinkpad P51s,Workstation,15.6,Intel Core i7 7600U 2.8GHz,16,1TB SSD,Nvidia Quadro M520M,Windows,10,2.5kg,3299.0,Intel,Nvidia,3840,2160,2.8
745,Acer,Chromebook 14,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.68kg,330.0,Intel,Intel,1366,768,1.6
746,Samsung,Notebook 9,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,16,256GB SSD,Intel HD Graphics 620,Windows,10,0.81kg,1649.0,Intel,Intel,1920,1080,2.7
747,HP,250 G6,Notebook,15.6,Intel Core i3 6006U 2GHz,8,256GB SSD,Intel HD Graphics 520,Windows,10,1.86kg,539.0,Intel,Intel,1920,1080,2.0
748,Dell,Latitude 5480,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.6kg,1126.71,Intel,Intel,1366,768,2.5
749,HP,Zbook 17,Workstation,17.3,Intel Xeon E3-1535M v5 2.9GHz,16,256GB SSD,Nvidia Quadro M2000M,Windows,7,3kg,4389.0,Intel,Nvidia,1920,1080,2.9
750,Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,4,128GB SSD,Intel HD Graphics 400,Windows,10,1.4kg,475.0,Intel,Intel,1366,768,1.6
751,HP,EliteBook 850,Notebook,15.6,Intel Core i5 6300U 2.4GHz,8,256GB SSD,Intel HD Graphics 520,Windows,10,1.84kg,1900.0,Intel,Intel,1920,1080,2.4
752,Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,15.6,Intel Core i5 6300HQ 2.3GHz,4,1TB HDD,Nvidia GeForce GTX 950M,No OS,,2.45kg,579.0,Intel,Nvidia,1366,768,2.3
753,Lenovo,Thinkpad T460,Ultrabook,14.0,Intel Core i5 6200U 2.3GHz,4,1GB SSD,Intel HD Graphics 520,Windows,10,1.7kg,1096.0,Intel,Intel,1920,1080,2.3
754,Asus,Pro P2540UA-XO0192R,Notebook,15.6,Intel Core i7 7500U 2.7GHz,4,256GB SSD,Intel HD Graphics 620,Windows,10,2.37kg,849.9,Intel,Intel,1366,768,2.7
755,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,Intel Core i5 6260U 1.8GHz,8,256GB SSD,Intel HD Graphics 540,Windows,10,1.3kg,1199.0,Intel,Intel,3200,1800,1.8
756,HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,15.6,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,1099.0,Intel,Nvidia,1920,1080,2.5
757,HP,ZBook 15,Workstation,15.6,Intel Core i7 6700HQ 2.6GHz,8,256GB SSD,Nvidia Quadro M1000M,Windows,7,2.59kg,1561.0,Intel,Nvidia,1920,1080,2.6
758,Dell,Alienware 17,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,2868.99,Intel,Nvidia,3840,2160,2.8
759,Acer,Aspire 3,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Windows,10,2.1kg,599.0,Intel,Intel,1366,768,2.5
760,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,1048.0,Intel,Nvidia,1920,1080,2.8
761,Dell,Latitude 7280,Ultrabook,12.5,Intel Core i7 7600U 2.8GHz,16,256GB SSD,Intel HD Graphics 620,Windows,10,1.18kg,1859.0,Intel,Intel,1920,1080,2.8
762,Google,Pixelbook (Core,Ultrabook,12.3,Intel Core i5 7Y57 1.2GHz,8,256GB SSD,Intel HD Graphics 615,Chrome OS,,1.1kg,1559.0,Intel,Intel,2400,1600,1.2
763,Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.2kg,1129.0,Intel,Intel,3200,1800,2.5
